NÉV,EGÉSZSÉGBIZTOSÍTÁSI_SZÁM,SZÜLETÉSIDÁTUM,NEM,SZEMÉLYIGAZOLVÁNY_SZÁM,TARTÓZKODAS_TÓL,TARTÓZKODAS_IG,ORSZÁG,HÁZ_SZÁM,CSOPORT_NÉV,CSOPORTVEZETŐ
Teressa Chan,915242705,1999-09-14T00:00:00,f,922577JA   ,2000-02-06T00:00:00,2000-01-17T00:00:00,Mexico,5,Medvék,Tommie Martinez
Jeanetta Sandoval,646451976,2000-10-02T00:00:00,n,755564LA   ,2012-07-19T00:00:00,1990-02-01T00:00:00,Burkina Faso,7,BlaBla,Ja Noble
Hugo Maldonado,992531646,2004-02-11T00:00:00,f,881597HA   ,1988-09-17T00:00:00,1993-12-09T00:00:00,Angola,1,Oracle,Scott
Susannah Bell,505006783,2003-02-08T00:00:00,f,616125DA   ,2008-10-25T00:00:00,2004-10-15T00:00:00,Paraguay,8,Gumikacsa,Yuri Black
Ashly Ferrell,905573925,1991-03-11T00:00:00,n,811461FA   ,1997-04-03T00:00:00,2004-07-06T00:00:00,Gabon,7,Manók,Kip Mack
Dario Gates,372372233,1997-10-06T00:00:00,n,061262HA   ,1999-09-02T00:00:00,1998-08-20T00:00:00,Liechtenstein,3,Madarak,Tanner Daniels
Sherlene Sims,914695312,1990-08-29T00:00:00,n,467985BA   ,2003-03-19T00:00:00,2001-12-02T00:00:00,India,6,Cimborák,Hilaria Vargas
Ervin Bowen,482157558,1988-05-25T00:00:00,f,718734FA   ,1992-11-06T00:00:00,2005-06-07T00:00:00,Liechtenstein,8,Oracle,Scott
Bette Contreras,846169522,1989-10-18T00:00:00,n,561066CA   ,1989-09-10T00:00:00,1997-07-30T00:00:00,Cuba,8,Cimborák,Hilaria Vargas
Marilu Maynard,803490125,1996-08-27T00:00:00,f,628327BA   ,2008-09-30T00:00:00,2010-01-14T00:00:00,Lithuania,4,Manók,Kip Mack
Lesley Snow,236557659,1995-03-31T00:00:00,f,791825KA   ,2012-12-13T00:00:00,1999-01-22T00:00:00,Poland,9,Gumikacsa,Yuri Black
Marcelino Gilbert,469307689,1995-08-19T00:00:00,f,674609JA   ,1999-01-19T00:00:00,2009-08-11T00:00:00,Dominican Republic,3,Gumikacsa,Yuri Black
Frederic Emerson,263024448,2003-04-29T00:00:00,f,007280CA   ,2003-09-25T00:00:00,2010-05-11T00:00:00,Seychelles,4,Medvék,Tommie Martinez
Ellsworth Barker,934426460,2002-02-05T00:00:00,n,703762CA   ,2012-12-02T00:00:00,2011-07-09T00:00:00,Kyrgyzstan,6,Haverok,Alvera Walton
Michael Ball,286411333,1991-04-12T00:00:00,n,300964GA   ,1989-12-04T00:00:00,1988-05-28T00:00:00,Malaysia,3,Manók,Kip Mack
Oma Albert,033187800,1996-05-15T00:00:00,f,088296CA   ,1995-12-07T00:00:00,1992-01-18T00:00:00,Congo,2,Krumplipucolók,Shirly Logan
Edgardo Walter,895347619,2003-06-12T00:00:00,n,079145KA   ,2003-11-30T00:00:00,2004-03-07T00:00:00,Equatorial Guinea,3,Haverok,Alvera Walton
Corina Morales,909229179,1993-03-03T00:00:00,n,083752KA   ,2009-02-10T00:00:00,2012-06-19T00:00:00,Tanzania,1,BlaBla,Ja Noble
Mac Conrad,325930610,1991-04-16T00:00:00,n,577961DA   ,1998-04-16T00:00:00,2007-01-20T00:00:00,Iran,4,Haverok,Alvera Walton
Dawna Conner,154551913,1999-01-04T00:00:00,f,976859JA   ,1988-09-09T00:00:00,2003-03-04T00:00:00,Fiji,7,BlaBla,Ja Noble
Robin Marsh,566090825,1997-06-09T00:00:00,n,152653FA   ,2005-09-02T00:00:00,1999-04-16T00:00:00,Laos,6,Manók,Kip Mack
